Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.1669		1.1341		0.0000		0.1918		0.00050150
2		0.8637		0.8740		0.0000		0.2409		0.00050000
3		0.7505		0.8107		0.0000		0.2596		0.00049850
4		0.6832		0.8402		0.0000		0.2563		0.00049700
5		0.6351		0.6591		0.0000		0.3255		0.00049550
6		0.6038		0.6690		0.0000		0.3223		0.00049400
7		0.5783		0.6706		0.0000		0.2951		0.00049249
8		0.5529		0.6269		0.0000		0.3189		0.00049099
9		0.5306		0.5447		0.0000		0.3526		0.00048949
10		0.5205		0.5714		0.0000		0.3445		0.00048798
11		0.4994		0.5186		0.0000		0.3657		0.00048648
12		0.4838		0.5111		0.0000		0.3768		0.00048497
13		0.4755		0.5185		0.0000		0.3764		0.00048347
14		0.4666		0.5250		0.0000		0.3830		0.00048196
15		0.4563		0.4804		0.0000		0.4010		0.00048046
16		0.4457		0.4961		0.0000		0.3883		0.00047895
17		0.4363		0.4978		0.0000		0.4003		0.00047744
18		0.4245		0.4458		0.0000		0.4101		0.00047593
19		0.4223		0.4709		0.0000		0.4046		0.00047443
20		0.4151		0.4510		0.0000		0.4109		0.00047292
