Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.7500		0.4159		0.0000		0.5567		0.00050150
2		0.3866		0.3823		0.0000		0.5722		0.00050000
3		0.3193		0.3323		0.0000		0.5909		0.00049850
1		0.7934		0.4555		0.0000		0.5552		0.00050300
2		0.4063		0.3649		0.0000		0.5620		0.00050000
3		0.3223		0.3972		0.0000		0.5189		0.00049700
4		0.3032		0.3320		0.0000		0.5822		0.00049400
5		0.2814		0.3078		0.0000		0.5945		0.00049099
6		0.2927		0.3643		0.0000		0.5570		0.00048798
7		0.2707		0.3559		0.0000		0.5400		0.00048497
8		0.2690		0.3108		0.0000		0.6065		0.00048196
9		0.2683		0.3229		0.0000		0.5743		0.00047895
10		0.2626		0.3041		0.0000		0.6011		0.00047593
11		0.2500		0.3998		0.0000		0.5605		0.00047292
12		0.2539		0.3635		0.0000		0.5431		0.00046990
13		0.2478		0.3202		0.0000		0.6000		0.00046688
14		0.2568		0.3764		0.0000		0.5503		0.00046385
15		0.2500		0.2840		0.0000		0.6201		0.00046083
16		0.2326		0.3121		0.0000		0.6170		0.00045780
17		0.2524		0.2968		0.0000		0.6054		0.00045477
18		0.2365		0.3019		0.0000		0.6060		0.00045173
19		0.2364		0.3185		0.0000		0.5925		0.00044870
20		0.2391		0.3400		0.0000		0.5852		0.00044566
21		0.2385		0.3077		0.0000		0.5974		0.00044262
22		0.2296		0.3144		0.0000		0.5948		0.00043958
23		0.2299		0.3406		0.0000		0.5694		0.00043653
24		0.2282		0.3207		0.0000		0.5973		0.00043349
25		0.2353		0.3774		0.0000		0.5559		0.00043044
26		0.2312		0.2842		0.0000		0.6128		0.00042739
27		0.2200		0.2780		0.0000		0.6371		0.00042433
28		0.2163		0.3466		0.0000		0.5731		0.00042128
29		0.2262		0.3031		0.0000		0.6085		0.00041822
30		0.2248		0.3306		0.0000		0.5915		0.00041516
31		0.2203		0.2872		0.0000		0.6143		0.00041209
32		0.2184		0.3104		0.0000		0.5808		0.00040903
33		0.2245		0.2858		0.0000		0.6154		0.00040596
34		0.2249		0.2858		0.0000		0.6222		0.00040289
35		0.2114		0.2847		0.0000		0.6258		0.00039981
36		0.2144		0.2975		0.0000		0.6207		0.00039673
37		0.2200		0.3390		0.0000		0.5942		0.00039366
38		0.2146		0.3168		0.0000		0.6013		0.00039057
39		0.2136		0.2793		0.0000		0.6322		0.00038749
40		0.2071		0.2814		0.0000		0.6393		0.00038440
41		0.2077		0.2905		0.0000		0.6188		0.00038131
42		0.2279		0.3403		0.0000		0.5766		0.00037822
43		0.2097		0.2691		0.0000		0.6488		0.00037512
44		0.2066		0.3426		0.0000		0.5836		0.00037202
45		0.2173		0.2852		0.0000		0.6170		0.00036892
46		0.1983		0.2708		0.0000		0.6291		0.00036582
47		0.2047		0.2638		0.0000		0.6638		0.00036271
48		0.2084		0.3949		0.0000		0.5476		0.00035960
49		0.2141		0.2703		0.0000		0.6405		0.00035649
50		0.2026		0.2685		0.0000		0.6608		0.00035337
51		0.2116		0.2731		0.0000		0.6433		0.00035025
52		0.2027		0.3179		0.0000		0.5724		0.00034713
53		0.2055		0.2844		0.0000		0.6355		0.00034400
54		0.2090		0.2660		0.0000		0.6560		0.00034087
55		0.1977		0.2803		0.0000		0.6492		0.00033774
56		0.1970		0.2776		0.0000		0.6566		0.00033460
57		0.2075		0.2898		0.0000		0.6528		0.00033147
58		0.2059		0.2774		0.0000		0.6387		0.00032832
59		0.1967		0.2875		0.0000		0.6252		0.00032518
60		0.1928		0.2899		0.0000		0.6464		0.00032203
61		0.2025		0.2914		0.0000		0.6121		0.00031888
62		0.1998		0.2724		0.0000		0.6611		0.00031572
63		0.1984		0.2661		0.0000		0.6509		0.00031256
64		0.1886		0.2784		0.0000		0.6467		0.00030940
65		0.1991		0.2889		0.0000		0.6314		0.00030624
66		0.1907		0.2848		0.0000		0.6273		0.00030307
67		0.1862		0.2572		0.0000		0.6705		0.00029989
68		0.1883		0.2677		0.0000		0.6687		0.00029671
69		0.1964		0.2942		0.0000		0.6178		0.00029353
70		0.1927		0.2773		0.0000		0.6460		0.00029035
71		0.1874		0.2708		0.0000		0.6513		0.00028716
72		0.1907		0.2903		0.0000		0.6237		0.00028397
73		0.1899		0.2666		0.0000		0.6666		0.00028077
74		0.1869		0.3116		0.0000		0.5960		0.00027757
75		0.1945		0.2759		0.0000		0.6223		0.00027437
76		0.1825		0.2937		0.0000		0.6358		0.00027116
77		0.1857		0.2702		0.0000		0.6296		0.00026794
78		0.1806		0.2922		0.0000		0.6316		0.00026473
79		0.1995		0.2906		0.0000		0.6272		0.00026150
80		0.1796		0.2604		0.0000		0.6552		0.00025828
81		0.1841		0.2915		0.0000		0.6173		0.00025505
82		0.1902		0.2878		0.0000		0.6149		0.00025181
83		0.1814		0.2689		0.0000		0.6478		0.00024857
