Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.9350		0.7232		0.0000		0.2797		0.00050150
2		0.6367		0.6091		0.0000		0.3151		0.00050000
3		0.5512		0.5560		0.0000		0.3475		0.00049850
4		0.4976		0.5524		0.0000		0.3538		0.00049700
5		0.4659		0.4733		0.0000		0.3990		0.00049550
6		0.4387		0.5172		0.0000		0.3637		0.00049400
7		0.4151		0.4310		0.0000		0.4207		0.00049249
8		0.4004		0.4241		0.0000		0.4225		0.00049099
9		0.3864		0.4789		0.0000		0.3991		0.00048949
10		0.3708		0.4091		0.0000		0.4439		0.00048798
11		0.3645		0.4045		0.0000		0.4564		0.00048648
12		0.3532		0.3702		0.0000		0.4893		0.00048497
13		0.3402		0.3815		0.0000		0.4844		0.00048347
14		0.3357		0.3685		0.0000		0.4838		0.00048196
15		0.3248		0.3528		0.0000		0.5043		0.00048046
16		0.3263		0.3523		0.0000		0.5003		0.00047895
17		0.3101		0.3476		0.0000		0.5201		0.00047744
18		0.3120		0.3441		0.0000		0.5046		0.00047593
19		0.3063		0.3274		0.0000		0.5111		0.00047443
20		0.3016		0.3520		0.0000		0.4976		0.00047292
21		0.2999		0.3406		0.0000		0.5103		0.00047141
22		0.2866		0.3221		0.0000		0.5253		0.00046990
23		0.2862		0.4275		0.0000		0.4487		0.00046839
24		0.2826		0.3129		0.0000		0.5278		0.00046688
25		0.2804		0.3264		0.0000		0.5285		0.00046536
26		0.2784		0.3051		0.0000		0.5479		0.00046385
27		0.2776		0.3228		0.0000		0.5376		0.00046234
28		0.2709		0.4046		0.0000		0.4676		0.00046083
29		0.2656		0.2838		0.0000		0.5695		0.00045931
30		0.2643		0.2797		0.0000		0.5859		0.00045780
31		0.2633		0.3094		0.0000		0.5399		0.00045628
32		0.2608		0.4453		0.0000		0.4812		0.00045477
33		0.2643		0.3119		0.0000		0.5476		0.00045325
34		0.2517		0.2899		0.0000		0.5473		0.00045173
35		0.2517		0.2987		0.0000		0.5441		0.00045022
36		0.2499		0.2824		0.0000		0.5655		0.00044870
37		0.2550		0.2928		0.0000		0.5456		0.00044718
38		0.2421		0.2822		0.0000		0.5788		0.00044566
39		0.2425		0.2911		0.0000		0.5701		0.00044414
40		0.2452		0.2910		0.0000		0.5786		0.00044262
41		0.2399		0.2920		0.0000		0.5607		0.00044110
42		0.2416		0.2708		0.0000		0.5695		0.00043958
43		0.2418		0.2931		0.0000		0.5511		0.00043806
44		0.2392		0.2662		0.0000		0.5900		0.00043653
45		0.2301		0.2756		0.0000		0.5755		0.00043501
46		0.2349		0.2825		0.0000		0.5828		0.00043349
47		0.2314		0.2916		0.0000		0.5460		0.00043196
48		0.2390		0.3185		0.0000		0.5323		0.00043044
49		0.2282		0.2607		0.0000		0.6010		0.00042891
50		0.2271		0.2937		0.0000		0.5693		0.00042739
51		0.2256		0.2731		0.0000		0.5813		0.00042586
52		0.2263		0.3257		0.0000		0.5295		0.00042433
53		0.2282		0.2675		0.0000		0.5845		0.00042281
54		0.2218		0.2628		0.0000		0.5857		0.00042128
55		0.2246		0.2689		0.0000		0.5874		0.00041975
56		0.2199		0.2905		0.0000		0.5616		0.00041822
57		0.2205		0.2838		0.0000		0.5649		0.00041669
58		0.2256		0.2731		0.0000		0.5950		0.00041516
59		0.2190		0.2685		0.0000		0.5880		0.00041362
60		0.2187		0.2592		0.0000		0.6083		0.00041209
61		0.2184		0.2881		0.0000		0.5882		0.00041056
62		0.2124		0.2610		0.0000		0.5928		0.00040903
63		0.2193		0.2647		0.0000		0.5942		0.00040749
64		0.2126		0.2672		0.0000		0.6019		0.00040596
65		0.2108		0.2591		0.0000		0.6010		0.00040442
66		0.2127		0.3163		0.0000		0.5650		0.00040289
67		0.2180		0.2607		0.0000		0.6131		0.00040135
68		0.2116		0.2611		0.0000		0.6061		0.00039981
69		0.2117		0.2703		0.0000		0.6179		0.00039827
70		0.2135		0.2536		0.0000		0.6223		0.00039673
71		0.2032		0.2566		0.0000		0.6194		0.00039520
72		0.2080		0.2485		0.0000		0.6051		0.00039366
73		0.2065		0.2741		0.0000		0.5816		0.00039211
74		0.2062		0.2772		0.0000		0.5830		0.00039057
75		0.2050		0.2475		0.0000		0.6162		0.00038903
76		0.2068		0.2489		0.0000		0.5998		0.00038749
77		0.2061		0.3032		0.0000		0.6135		0.00038594
78		0.2080		0.2660		0.0000		0.6094		0.00038440
79		0.1992		0.2663		0.0000		0.5797		0.00038286
80		0.2005		0.2399		0.0000		0.6276		0.00038131
81		0.2056		0.2873		0.0000		0.5773		0.00037976
82		0.1958		0.2707		0.0000		0.6011		0.00037822
83		0.2010		0.2479		0.0000		0.6319		0.00037667
84		0.2015		0.2395		0.0000		0.6399		0.00037512
85		0.1925		0.2639		0.0000		0.6001		0.00037357
86		0.2023		0.2642		0.0000		0.6115		0.00037202
87		0.2013		0.2300		0.0000		0.6394		0.00037047
88		0.1959		0.2455		0.0000		0.6094		0.00036892
89		0.1928		0.2507		0.0000		0.6175		0.00036737
90		0.1978		0.2424		0.0000		0.6135		0.00036582
91		0.1975		0.2608		0.0000		0.6231		0.00036426
92		0.1950		0.2373		0.0000		0.6266		0.00036271
93		0.1910		0.2589		0.0000		0.6025		0.00036115
94		0.1998		0.2264		0.0000		0.6530		0.00035960
95		0.1916		0.2379		0.0000		0.6195		0.00035804
96		0.1976		0.2434		0.0000		0.6373		0.00035649
97		0.1913		0.2405		0.0000		0.6364		0.00035493
98		0.1964		0.2454		0.0000		0.6261		0.00035337
99		0.1912		0.2502		0.0000		0.6234		0.00035181
100		0.1880		0.2390		0.0000		0.6329		0.00035025
101		0.1905		0.2456		0.0000		0.6361		0.00034869
102		0.1870		0.2546		0.0000		0.6033		0.00034713
103		0.1892		0.2438		0.0000		0.6361		0.00034556
104		0.1861		0.2427		0.0000		0.6262		0.00034400
105		0.1957		0.2398		0.0000		0.6362		0.00034244
106		0.1859		0.2424		0.0000		0.6313		0.00034087
107		0.1822		0.2427		0.0000		0.6269		0.00033931
108		0.1927		0.2672		0.0000		0.5960		0.00033774
109		0.1871		0.2319		0.0000		0.6239		0.00033617
110		0.1843		0.2308		0.0000		0.6434		0.00033460
111		0.1848		0.2703		0.0000		0.6118		0.00033304
112		0.1886		0.2318		0.0000		0.6283		0.00033147
113		0.1801		0.2347		0.0000		0.6318		0.00032990
114		0.1790		0.2578		0.0000		0.6254		0.00032832
115		0.1888		0.2488		0.0000		0.6282		0.00032675
116		0.1853		0.2311		0.0000		0.6552		0.00032518
117		0.1775		0.2331		0.0000		0.6359		0.00032361
118		0.1792		0.2937		0.0000		0.5388		0.00032203
119		0.1785		0.2469		0.0000		0.6380		0.00032045
120		0.1888		0.2266		0.0000		0.6535		0.00031888
121		0.1807		0.2348		0.0000		0.6383		0.00031730
122		0.1790		0.2401		0.0000		0.6302		0.00031572
123		0.1790		0.2810		0.0000		0.5988		0.00031414
124		0.1803		0.2431		0.0000		0.6213		0.00031256
125		0.1743		0.2429		0.0000		0.6298		0.00031098
126		0.1771		0.2318		0.0000		0.6429		0.00030940
127		0.1747		0.2649		0.0000		0.6282		0.00030782
128		0.1773		0.2297		0.0000		0.6557		0.00030624
129		0.1712		0.2215		0.0000		0.6619		0.00030465
130		0.1773		0.2353		0.0000		0.6458		0.00030307
131		0.1819		0.2584		0.0000		0.6289		0.00030148
132		0.1740		0.2387		0.0000		0.6166		0.00029989
133		0.1755		0.2317		0.0000		0.6419		0.00029830
134		0.1758		0.2330		0.0000		0.6255		0.00029671
135		0.1725		0.2371		0.0000		0.6387		0.00029512
136		0.1836		0.2274		0.0000		0.6571		0.00029353
137		0.1680		0.2755		0.0000		0.6133		0.00029194
138		0.1769		0.2261		0.0000		0.6576		0.00029035
139		0.1700		0.2353		0.0000		0.6417		0.00028876
140		0.1729		0.2534		0.0000		0.6298		0.00028716
141		0.1712		0.2395		0.0000		0.6340		0.00028556
142		0.1681		0.2630		0.0000		0.6056		0.00028397
143		0.1702		0.2877		0.0000		0.6146		0.00028237
144		0.1708		0.2274		0.0000		0.6360		0.00028077
145		0.1679		0.2216		0.0000		0.6553		0.00027917
146		0.1759		0.2339		0.0000		0.6488		0.00027757
147		0.1665		0.2286		0.0000		0.6547		0.00027597
148		0.1681		0.2382		0.0000		0.6413		0.00027437
149		0.1652		0.2365		0.0000		0.6305		0.00027276
150		0.1675		0.2339		0.0000		0.6428		0.00027116
151		0.1733		0.2299		0.0000		0.6498		0.00026955
152		0.1683		0.2187		0.0000		0.6653		0.00026794
153		0.1707		0.2273		0.0000		0.6535		0.00026634
154		0.1629		0.2465		0.0000		0.6263		0.00026473
155		0.1662		0.2372		0.0000		0.6413		0.00026312
156		0.1689		0.2235		0.0000		0.6457		0.00026150
157		0.1604		0.2354		0.0000		0.6337		0.00025989
158		0.1658		0.2257		0.0000		0.6479		0.00025828
159		0.1686		0.2212		0.0000		0.6531		0.00025666
160		0.1631		0.2335		0.0000		0.6516		0.00025505
161		0.1603		0.2219		0.0000		0.6568		0.00025343
162		0.1679		0.2448		0.0000		0.6217		0.00025181
163		0.1663		0.2273		0.0000		0.6380		0.00025019
164		0.1588		0.2504		0.0000		0.6202		0.00024857
165		0.1647		0.2512		0.0000		0.6313		0.00024695
166		0.1658		0.2229		0.0000		0.6546		0.00024533
167		0.1585		0.2141		0.0000		0.6812		0.00024370
168		0.1592		0.2217		0.0000		0.6458		0.00024208
169		0.1622		0.2163		0.0000		0.6662		0.00024045
170		0.1640		0.2282		0.0000		0.6459		0.00023882
171		0.1640		0.2306		0.0000		0.6564		0.00023719
172		0.1542		0.2246		0.0000		0.6625		0.00023556
173		0.1697		0.2130		0.0000		0.6710		0.00023393
174		0.1544		0.2322		0.0000		0.6452		0.00023230
175		0.1546		0.2176		0.0000		0.6618		0.00023067
176		0.1574		0.2166		0.0000		0.6645		0.00022903
177		0.1576		0.2188		0.0000		0.6678		0.00022739
178		0.1583		0.2360		0.0000		0.6445		0.00022576
179		0.1567		0.2198		0.0000		0.6712		0.00022412
180		0.1612		0.2298		0.0000		0.6626		0.00022248
181		0.1591		0.2249		0.0000		0.6426		0.00022083
182		0.1556		0.2191		0.0000		0.6638		0.00021919
183		0.1542		0.2272		0.0000		0.6417		0.00021755
184		0.1521		0.2216		0.0000		0.6650		0.00021590
185		0.1498		0.2271		0.0000		0.6694		0.00021425
186		0.1574		0.2206		0.0000		0.6795		0.00021260
187		0.1543		0.2304		0.0000		0.6483		0.00021095
188		0.1515		0.2224		0.0000		0.6711		0.00020930
189		0.1565		0.2300		0.0000		0.6453		0.00020765
190		0.1536		0.2163		0.0000		0.6692		0.00020600
