Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.7677		0.4326		0.0000		0.5352		0.00050300
2		0.3595		0.3884		0.0000		0.5383		0.00050000
3		0.3208		0.3473		0.0000		0.5631		0.00049700
4		0.2849		0.3458		0.0000		0.5668		0.00049400
5		0.2838		0.3905		0.0000		0.5376		0.00049099
6		0.2709		0.3452		0.0000		0.5809		0.00048798
7		0.2660		0.4697		0.0000		0.5223		0.00048497
8		0.2620		0.5429		0.0000		0.5332		0.00048196
9		0.2512		0.3147		0.0000		0.6037		0.00047895
10		0.2545		0.3245		0.0000		0.5976		0.00047593
11		0.2555		0.3822		0.0000		0.5340		0.00047292
12		0.2492		0.3204		0.0000		0.5967		0.00046990
13		0.2401		0.4502		0.0000		0.4984		0.00046688
14		0.2356		0.3151		0.0000		0.5880		0.00046385
15		0.2391		0.3451		0.0000		0.5549		0.00046083
16		0.2368		0.3393		0.0000		0.5765		0.00045780
17		0.2418		0.2994		0.0000		0.6038		0.00045477
18		0.2252		0.2988		0.0000		0.6115		0.00045173
19		0.2323		0.3167		0.0000		0.5876		0.00044870
20		0.2281		0.3517		0.0000		0.5472		0.00044566
21		0.2377		0.3243		0.0000		0.5979		0.00044262
22		0.2313		0.3459		0.0000		0.5827		0.00043958
23		0.2210		0.3411		0.0000		0.5643		0.00043653
24		0.2327		0.3093		0.0000		0.5985		0.00043349
25		0.2228		0.3007		0.0000		0.6071		0.00043044
26		0.2193		0.3069		0.0000		0.5953		0.00042739
27		0.2184		0.3574		0.0000		0.5762		0.00042433
28		0.2307		0.3018		0.0000		0.5968		0.00042128
29		0.2266		0.2885		0.0000		0.6190		0.00041822
30		0.2215		0.3064		0.0000		0.5978		0.00041516
31		0.2127		0.4091		0.0000		0.5215		0.00041209
