Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.7983		0.6603		0.0000		0.3006		0.00050300
2		0.5583		0.5419		0.0000		0.3519		0.00050000
3		0.4776		0.4764		0.0000		0.3877		0.00049700
4		0.4359		0.4574		0.0000		0.4014		0.00049400
5		0.4047		0.4149		0.0000		0.4334		0.00049099
6		0.3864		0.4246		0.0000		0.4234		0.00048798
7		0.3700		0.4110		0.0000		0.4374		0.00048497
8		0.3496		0.3667		0.0000		0.4785		0.00048196
9		0.3401		0.3783		0.0000		0.4663		0.00047895
10		0.3308		0.3857		0.0000		0.4603		0.00047593
11		0.3187		0.3653		0.0000		0.4762		0.00047292
12		0.3177		0.3683		0.0000		0.4895		0.00046990
13		0.3069		0.3427		0.0000		0.5081		0.00046688
14		0.2976		0.3256		0.0000		0.5127		0.00046385
15		0.2904		0.3390		0.0000		0.4934		0.00046083
16		0.2890		0.3926		0.0000		0.4865		0.00045780
17		0.2824		0.3169		0.0000		0.5299		0.00045477
18		0.2818		0.3507		0.0000		0.5134		0.00045173
19		0.2710		0.2965		0.0000		0.5348		0.00044870
20		0.2735		0.3141		0.0000		0.5317		0.00044566
21		0.2703		0.2946		0.0000		0.5565		0.00044262
22		0.2610		0.2988		0.0000		0.5500		0.00043958
23		0.2605		0.3328		0.0000		0.5220		0.00043653
24		0.2553		0.3121		0.0000		0.5541		0.00043349
25		0.2526		0.3221		0.0000		0.5218		0.00043044
26		0.2520		0.4078		0.0000		0.5259		0.00042739
27		0.2469		0.3006		0.0000		0.5551		0.00042433
28		0.2604		0.3143		0.0000		0.5405		0.00050150
29		0.2505		0.3071		0.0000		0.5404		0.00050000
30		0.2513		0.2907		0.0000		0.5704		0.00049850
31		0.2543		0.3413		0.0000		0.5092		0.00049700
32		0.2447		0.3046		0.0000		0.5387		0.00049550
33		0.2423		0.3075		0.0000		0.5545		0.00049400
34		0.2450		0.2980		0.0000		0.5449		0.00049249
35		0.2353		0.2819		0.0000		0.5700		0.00049099
36		0.2395		0.2999		0.0000		0.5304		0.00048949
37		0.2359		0.3121		0.0000		0.5357		0.00048798
38		0.2338		0.2837		0.0000		0.5663		0.00048648
39		0.2430		0.2916		0.0000		0.5571		0.00048497
40		0.2266		0.2961		0.0000		0.5674		0.00048347
41		0.2303		0.2829		0.0000		0.5729		0.00048196
42		0.2277		0.3874		0.0000		0.5093		0.00048046
43		0.2268		0.3116		0.0000		0.5580		0.00047895
44		0.2281		0.2850		0.0000		0.5710		0.00047744
45		0.2261		0.2708		0.0000		0.5890		0.00047593
46		0.2210		0.2895		0.0000		0.5626		0.00047443
47		0.2218		0.2964		0.0000		0.5741		0.00047292
48		0.2241		0.2778		0.0000		0.5848		0.00047141
49		0.2254		0.3132		0.0000		0.5594		0.00046990
50		0.2179		0.2739		0.0000		0.5937		0.00046839
51		0.2165		0.2541		0.0000		0.6142		0.00046688
52		0.2192		0.2807		0.0000		0.5754		0.00046536
53		0.2118		0.2746		0.0000		0.5764		0.00046385
54		0.2185		0.2872		0.0000		0.5704		0.00046234
55		0.2067		0.2883		0.0000		0.5706		0.00046083
56		0.2156		0.2772		0.0000		0.5832		0.00045931
57		0.2082		0.2829		0.0000		0.5686		0.00045780
58		0.2149		0.2918		0.0000		0.5713		0.00045628
59		0.2126		0.3447		0.0000		0.5460		0.00045477
60		0.2068		0.2767		0.0000		0.5851		0.00045325
61		0.2067		0.3312		0.0000		0.5475		0.00045173
62		0.2062		0.3215		0.0000		0.5620		0.00045022
63		0.2085		0.2638		0.0000		0.5973		0.00044870
64		0.2027		0.2880		0.0000		0.5668		0.00044718
65		0.2084		0.2631		0.0000		0.6039		0.00044566
66		0.1983		0.2794		0.0000		0.5810		0.00044414
67		0.2055		0.2876		0.0000		0.5867		0.00044262
68		0.2048		0.3062		0.0000		0.5492		0.00044110
69		0.1954		0.2734		0.0000		0.5952		0.00043958
70		0.1978		0.2603		0.0000		0.6031		0.00043806
71		0.2016		0.2597		0.0000		0.6038		0.00043653
72		0.1963		0.2636		0.0000		0.6046		0.00043501
73		0.2054		0.2596		0.0000		0.6006		0.00043349
74		0.1990		0.2541		0.0000		0.6094		0.00043196
75		0.1886		0.2566		0.0000		0.6170		0.00043044
76		0.1998		0.3040		0.0000		0.5560		0.00042891
77		0.2035		0.2659		0.0000		0.6028		0.00042739
78		0.1911		0.2563		0.0000		0.5945		0.00042586
79		0.1942		0.5799		0.0000		0.4728		0.00042433
80		0.1918		0.2751		0.0000		0.5993		0.00042281
81		0.1952		0.2791		0.0000		0.5789		0.00042128
82		0.1964		0.2477		0.0000		0.6194		0.00041975
83		0.1930		0.2570		0.0000		0.6056		0.00041822
84		0.1918		0.2515		0.0000		0.6120		0.00041669
85		0.1860		0.2577		0.0000		0.6142		0.00041516
86		0.1917		0.3024		0.0000		0.5714		0.00041362
87		0.1917		0.2526		0.0000		0.6111		0.00041209
88		0.1924		0.2645		0.0000		0.6012		0.00041056
89		0.1933		0.2515		0.0000		0.6113		0.00040903
90		0.1816		0.2586		0.0000		0.6134		0.00040749
91		0.1895		0.2607		0.0000		0.6029		0.00040596
92		0.1891		0.2506		0.0000		0.6238		0.00040442
93		0.1826		0.2536		0.0000		0.5946		0.00040289
94		0.1869		0.2448		0.0000		0.6246		0.00040135
95		0.1838		0.2539		0.0000		0.6067		0.00039981
96		0.1897		0.2550		0.0000		0.6161		0.00039827
97		0.1880		0.2712		0.0000		0.5818		0.00039673
98		0.1818		0.2575		0.0000		0.6114		0.00039520
99		0.1803		0.2643		0.0000		0.5830		0.00039366
100		0.1833		0.2375		0.0000		0.6247		0.00039211
101		0.1823		0.2593		0.0000		0.6177		0.00039057
102		0.1860		0.3182		0.0000		0.5743		0.00038903
103		0.1785		0.2764		0.0000		0.5985		0.00038749
104		0.1847		0.3917		0.0000		0.5361		0.00038594
105		0.1906		0.2486		0.0000		0.6327		0.00038440
106		0.1774		0.2712		0.0000		0.6104		0.00038286
107		0.1822		0.2866		0.0000		0.6230		0.00038131
108		0.1811		0.2404		0.0000		0.6204		0.00037976
109		0.1729		0.2538		0.0000		0.6033		0.00037822
110		0.1771		0.2623		0.0000		0.5983		0.00037667
111		0.1748		0.2466		0.0000		0.6223		0.00037512
112		0.1812		0.2647		0.0000		0.5949		0.00037357
113		0.1823		0.2592		0.0000		0.6219		0.00037202
114		0.1750		0.2388		0.0000		0.6257		0.00037047
115		0.1716		0.2394		0.0000		0.6348		0.00036892
116		0.1805		0.2612		0.0000		0.6068		0.00036737
117		0.1755		0.2490		0.0000		0.6206		0.00036582
118		0.1824		0.2575		0.0000		0.6059		0.00036426
119		0.1704		0.2530		0.0000		0.6408		0.00036271
120		0.1803		0.2599		0.0000		0.6022		0.00036115
121		0.1727		0.2513		0.0000		0.6096		0.00035960
122		0.1763		0.2397		0.0000		0.6305		0.00035804
123		0.1692		0.2495		0.0000		0.6316		0.00035649
124		0.1744		0.2632		0.0000		0.6144		0.00035493
125		0.1780		0.2840		0.0000		0.5871		0.00035337
126		0.1701		0.2482		0.0000		0.6272		0.00035181
127		0.1688		0.2711		0.0000		0.6050		0.00035025
128		0.1718		0.2365		0.0000		0.6354		0.00034869
129		0.1708		0.2386		0.0000		0.6253		0.00034713
130		0.1675		0.2404		0.0000		0.6127		0.00034556
131		0.1642		0.2418		0.0000		0.6432		0.00034400
132		0.1833		0.2377		0.0000		0.6318		0.00034244
133		0.1656		0.2459		0.0000		0.6354		0.00034087
134		0.1654		0.2404		0.0000		0.6391		0.00033931
135		0.1863		0.2349		0.0000		0.6329		0.00033774
136		0.1680		0.2756		0.0000		0.5908		0.00033617
137		0.1672		0.2358		0.0000		0.6484		0.00033460
138		0.1617		0.2419		0.0000		0.6381		0.00033304
139		0.1705		0.2433		0.0000		0.6431		0.00033147
140		0.1643		0.2615		0.0000		0.6149		0.00032990
141		0.1678		0.2371		0.0000		0.6378		0.00032832
142		0.1714		0.2581		0.0000		0.6142		0.00032675
143		0.1595		0.2547		0.0000		0.6267		0.00032518
144		0.1674		0.2463		0.0000		0.6314		0.00032361
145		0.1685		0.2381		0.0000		0.6401		0.00032203
146		0.1681		0.3008		0.0000		0.6114		0.00032045
147		0.1646		0.2508		0.0000		0.6238		0.00031888
148		0.1579		0.2568		0.0000		0.6092		0.00031730
149		0.1706		0.2453		0.0000		0.6392		0.00031572
150		0.1602		0.2390		0.0000		0.6409		0.00031414
151		0.1603		0.2606		0.0000		0.6012		0.00031256
152		0.1614		0.2412		0.0000		0.6484		0.00031098
153		0.1714		0.2371		0.0000		0.6450		0.00030940
154		0.1589		0.2431		0.0000		0.6366		0.00030782
155		0.1692		0.2437		0.0000		0.6287		0.00030624
156		0.1588		0.2654		0.0000		0.6233		0.00030465
157		0.1599		0.2423		0.0000		0.6342		0.00030307
158		0.1680		0.2544		0.0000		0.6255		0.00030148
159		0.1670		0.2433		0.0000		0.6284		0.00029989
160		0.1602		0.2325		0.0000		0.6322		0.00029830
161		0.1569		0.2370		0.0000		0.6476		0.00029671
162		0.1542		0.2486		0.0000		0.6264		0.00029512
163		0.1665		0.2383		0.0000		0.6266		0.00029353
164		0.1556		0.2580		0.0000		0.6237		0.00029194
165		0.1622		0.2400		0.0000		0.6429		0.00029035
166		0.1543		0.2522		0.0000		0.6320		0.00028876
167		0.1574		0.2468		0.0000		0.6554		0.00028716
168		0.1621		0.2708		0.0000		0.6265		0.00028556
169		0.1528		0.2353		0.0000		0.6527		0.00028397
170		0.1616		0.2722		0.0000		0.5899		0.00028237
171		0.1546		0.2591		0.0000		0.6147		0.00028077
172		0.1633		0.2345		0.0000		0.6411		0.00027917
173		0.1534		0.2753		0.0000		0.6228		0.00027757
174		0.1581		0.2639		0.0000		0.6136		0.00027597
175		0.1541		0.2319		0.0000		0.6505		0.00027437
176		0.1521		0.2307		0.0000		0.6444		0.00027276
177		0.1539		0.3011		0.0000		0.5920		0.00027116
178		0.1527		0.2523		0.0000		0.6265		0.00026955
179		0.1608		0.2255		0.0000		0.6405		0.00026794
180		0.1527		0.2370		0.0000		0.6385		0.00026634
181		0.1494		0.2490		0.0000		0.6334		0.00026473
182		0.1544		0.2513		0.0000		0.6337		0.00026312
183		0.1499		0.2341		0.0000		0.6546		0.00026150
184		0.1554		0.2270		0.0000		0.6528		0.00025989
185		0.1493		0.2583		0.0000		0.6219		0.00025828
186		0.1536		0.2299		0.0000		0.6625		0.00025666
187		0.1560		0.2383		0.0000		0.6497		0.00025505
188		0.1468		0.2278		0.0000		0.6558		0.00025343
189		0.1557		0.2533		0.0000		0.6243		0.00025181
190		0.1479		0.2314		0.0000		0.6596		0.00025019
191		0.1462		0.2450		0.0000		0.6429		0.00024857
192		0.1517		0.2384		0.0000		0.6600		0.00024695
193		0.1465		0.2419		0.0000		0.6542		0.00024533
194		0.1505		0.2946		0.0000		0.6149		0.00024370
195		0.1545		0.2254		0.0000		0.6624		0.00024208
196		0.1490		0.2597		0.0000		0.6376		0.00024045
197		0.1435		0.2365		0.0000		0.6587		0.00023882
198		0.1513		0.2533		0.0000		0.6388		0.00023719
199		0.1505		0.2271		0.0000		0.6650		0.00023556
200		0.1405		0.2351		0.0000		0.6602		0.00023393
201		0.1579		0.2717		0.0000		0.6054		0.00023230
202		0.1455		0.2290		0.0000		0.6600		0.00023067
203		0.1397		0.2345		0.0000		0.6588		0.00022903
204		0.1499		0.2399		0.0000		0.6654		0.00022739
205		0.1440		0.2553		0.0000		0.6205		0.00022576
206		0.1546		0.2419		0.0000		0.6487		0.00022412
207		0.1493		0.2284		0.0000		0.6638		0.00022248
208		0.1394		0.2650		0.0000		0.6259		0.00022083
209		0.1452		0.2300		0.0000		0.6628		0.00021919
210		0.1424		0.2281		0.0000		0.6708		0.00021755
211		0.1423		0.2299		0.0000		0.6673		0.00021590
212		0.1498		0.2349		0.0000		0.6495		0.00021425
213		0.1408		0.2311		0.0000		0.6486		0.00021260
214		0.1424		0.2325		0.0000		0.6676		0.00021095
215		0.1360		0.2591		0.0000		0.6296		0.00020930
216		0.1508		0.2255		0.0000		0.6646		0.00020765
217		0.1384		0.2226		0.0000		0.6660		0.00020600
218		0.1373		0.2306		0.0000		0.6517		0.00020434
219		0.1404		0.2632		0.0000		0.6259		0.00020268
220		0.1459		0.2272		0.0000		0.6654		0.00020102
221		0.1359		0.2576		0.0000		0.6328		0.00019936
222		0.1418		0.2437		0.0000		0.6399		0.00019770
223		0.1427		0.2244		0.0000		0.6687		0.00019604
224		0.1371		0.2328		0.0000		0.6616		0.00019437
225		0.1359		0.2311		0.0000		0.6427		0.00019270
226		0.1374		0.2358		0.0000		0.6581		0.00019104
227		0.1398		0.2284		0.0000		0.6564		0.00018937
228		0.1387		0.2323		0.0000		0.6661		0.00018769
229		0.1371		0.2266		0.0000		0.6655		0.00018602
230		0.1418		0.2326		0.0000		0.6432		0.00018435
231		0.1328		0.2204		0.0000		0.6710		0.00018267
232		0.1323		0.2316		0.0000		0.6609		0.00018099
233		0.1393		0.2349		0.0000		0.6674		0.00017931
234		0.1384		0.2246		0.0000		0.6649		0.00017763
235		0.1318		0.2265		0.0000		0.6706		0.00017594
236		0.1361		0.2300		0.0000		0.6604		0.00017426
237		0.1314		0.2426		0.0000		0.6481		0.00017257
238		0.1396		0.2338		0.0000		0.6528		0.00017088
239		0.1310		0.2281		0.0000		0.6617		0.00016919
240		0.1350		0.2306		0.0000		0.6686		0.00016750
