Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.8230		0.7352		0.0000		0.2766		0.00050150
2		0.5716		0.5764		0.0000		0.3283		0.00050000
3		0.4976		0.5645		0.0000		0.3468		0.00049850
4		0.4512		0.4824		0.0000		0.3899		0.00049700
5		0.4240		0.4642		0.0000		0.4008		0.00049550
6		0.3980		0.4187		0.0000		0.4353		0.00049400
7		0.3805		0.4594		0.0000		0.4152		0.00049249
8		0.3597		0.4725		0.0000		0.4122		0.00049099
9		0.3534		0.4388		0.0000		0.4360		0.00048949
10		0.3401		0.3979		0.0000		0.4476		0.00048798
11		0.3313		0.4438		0.0000		0.4491		0.00048648
12		0.3222		0.3763		0.0000		0.4790		0.00048497
13		0.3164		0.3868		0.0000		0.4707		0.00048347
14		0.3077		0.3636		0.0000		0.4797		0.00048196
15		0.3028		0.3758		0.0000		0.4902		0.00048046
16		0.2960		0.3334		0.0000		0.5157		0.00047895
17		0.2920		0.3554		0.0000		0.4842		0.00047744
18		0.2868		0.3386		0.0000		0.5174		0.00047593
19		0.2817		0.4243		0.0000		0.4777		0.00047443
20		0.2791		0.3357		0.0000		0.5196		0.00047292
21		0.2775		0.3523		0.0000		0.5063		0.00047141
22		0.2693		0.3290		0.0000		0.5148		0.00046990
23		0.2643		0.3278		0.0000		0.5210		0.00046839
24		0.2648		0.3439		0.0000		0.5170		0.00046688
25		0.2602		0.3511		0.0000		0.5148		0.00046536
26		0.2595		0.3208		0.0000		0.5271		0.00046385
27		0.2548		0.3135		0.0000		0.5320		0.00046234
28		0.2501		0.3353		0.0000		0.5013		0.00046083
29		0.2517		0.3269		0.0000		0.5419		0.00045931
30		0.2462		0.3368		0.0000		0.5119		0.00045780
31		0.2459		0.3165		0.0000		0.5384		0.00045628
32		0.2431		0.3196		0.0000		0.5472		0.00045477
33		0.2370		0.3155		0.0000		0.5508		0.00045325
34		0.2377		0.2928		0.0000		0.5686		0.00045173
35		0.2303		0.3191		0.0000		0.5566		0.00045022
36		0.2387		0.3304		0.0000		0.5255		0.00044870
37		0.2332		0.3138		0.0000		0.5315		0.00044718
38		0.2320		0.3088		0.0000		0.5521		0.00044566
39		0.2300		0.3405		0.0000		0.5053		0.00044414
40		0.2299		0.3519		0.0000		0.5412		0.00044262
41		0.2297		0.3158		0.0000		0.5488		0.00044110
42		0.2203		0.2996		0.0000		0.5671		0.00043958
43		0.2261		0.3248		0.0000		0.5617		0.00043806
44		0.2227		0.2865		0.0000		0.5807		0.00043653
45		0.2233		0.2893		0.0000		0.5787		0.00043501
46		0.2157		0.3076		0.0000		0.5589		0.00043349
47		0.2236		0.2761		0.0000		0.5948		0.00043196
48		0.2140		0.3167		0.0000		0.5474		0.00043044
49		0.2132		0.3144		0.0000		0.5514		0.00042891
50		0.2169		0.3412		0.0000		0.5355		0.00042739
51		0.2079		0.3038		0.0000		0.5605		0.00042586
52		0.2151		0.2956		0.0000		0.5584		0.00042433
53		0.2102		0.2755		0.0000		0.5984		0.00042281
54		0.2089		0.3418		0.0000		0.5370		0.00042128
55		0.2039		0.2837		0.0000		0.5863		0.00041975
56		0.2145		0.3807		0.0000		0.5433		0.00041822
57		0.2040		0.2901		0.0000		0.5684		0.00041669
58		0.2053		0.3155		0.0000		0.5642		0.00041516
59		0.2037		0.3679		0.0000		0.5130		0.00041362
60		0.2068		0.2810		0.0000		0.5696		0.00041209
61		0.2047		0.2801		0.0000		0.5838		0.00041056
62		0.2020		0.3090		0.0000		0.5456		0.00040903
63		0.1956		0.3743		0.0000		0.5368		0.00040749
64		0.2034		0.2748		0.0000		0.5921		0.00040596
65		0.1945		0.3139		0.0000		0.5698		0.00040442
66		0.1987		0.3098		0.0000		0.5623		0.00040289
67		0.2000		0.2859		0.0000		0.5659		0.00040135
68		0.1952		0.2772		0.0000		0.5936		0.00039981
69		0.1974		0.2981		0.0000		0.5771		0.00039827
70		0.1995		0.2761		0.0000		0.5890		0.00039673
71		0.1892		0.2791		0.0000		0.5969		0.00039520
72		0.1959		0.3114		0.0000		0.5318		0.00039366
73		0.1897		0.2910		0.0000		0.5856		0.00039211
74		0.1941		0.2644		0.0000		0.6056		0.00039057
75		0.1840		0.2868		0.0000		0.5947		0.00038903
76		0.2013		0.3244		0.0000		0.5573		0.00038749
77		0.1895		0.2661		0.0000		0.6095		0.00038594
78		0.1810		0.2599		0.0000		0.6089		0.00038440
79		0.1989		0.2808		0.0000		0.5707		0.00038286
80		0.1892		0.2633		0.0000		0.6144		0.00038131
81		0.1794		0.2669		0.0000		0.6137		0.00037976
82		0.1836		0.3157		0.0000		0.5662		0.00037822
83		0.1906		0.2878		0.0000		0.5913		0.00037667
84		0.1820		0.2916		0.0000		0.5657		0.00037512
85		0.1884		0.2835		0.0000		0.5859		0.00037357
86		0.1810		0.2641		0.0000		0.6017		0.00037202
