Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.7842		0.6767		0.0000		0.2992		0.00050150
1		0.7705		0.7262		0.0000		0.2830		0.00050150
2		0.5331		0.5575		0.0000		0.3436		0.00050000
3		0.4658		0.5027		0.0000		0.3714		0.00049850
4		0.4215		0.5318		0.0000		0.3622		0.00049700
5		0.3925		0.5075		0.0000		0.3888		0.00049550
6		0.3718		0.4171		0.0000		0.4271		0.00049400
7		0.3594		0.3972		0.0000		0.4575		0.00049249
8		0.3384		0.3966		0.0000		0.4638		0.00049099
9		0.3302		0.3908		0.0000		0.4733		0.00048949
10		0.3190		0.3925		0.0000		0.4702		0.00048798
11		0.3105		0.3693		0.0000		0.4752		0.00048648
12		0.2994		0.3660		0.0000		0.4801		0.00048497
13		0.2913		0.3725		0.0000		0.4750		0.00048347
14		0.2886		0.3538		0.0000		0.4935		0.00048196
15		0.2791		0.3351		0.0000		0.5087		0.00048046
16		0.2743		0.3609		0.0000		0.4982		0.00047895
17		0.2707		0.4000		0.0000		0.4937		0.00047744
18		0.2584		0.3308		0.0000		0.5176		0.00047593
19		0.2600		0.3524		0.0000		0.5161		0.00047443
20		0.2614		0.3622		0.0000		0.5098		0.00050150
21		0.2531		0.3077		0.0000		0.5424		0.00050000
22		0.2597		0.3131		0.0000		0.5376		0.00049850
23		0.2487		0.3138		0.0000		0.5452		0.00049700
24		0.2442		0.3369		0.0000		0.5233		0.00049550
25		0.2402		0.3068		0.0000		0.5320		0.00049400
26		0.2362		0.2915		0.0000		0.5495		0.00049249
27		0.2394		0.3347		0.0000		0.5424		0.00049099
28		0.2383		0.3048		0.0000		0.5509		0.00048949
29		0.2257		0.3198		0.0000		0.5447		0.00048798
30		0.2280		0.2868		0.0000		0.5774		0.00048648
31		0.2255		0.3405		0.0000		0.5174		0.00048497
32		0.2251		0.3228		0.0000		0.5357		0.00048347
33		0.2266		0.3172		0.0000		0.5388		0.00048196
34		0.2161		0.3274		0.0000		0.5445		0.00048046
35		0.2132		0.3136		0.0000		0.5627		0.00047895
36		0.2155		0.4351		0.0000		0.5324		0.00047744
37		0.2226		0.2933		0.0000		0.5698		0.00047593
38		0.2169		0.2937		0.0000		0.5686		0.00047443
39		0.2059		0.2827		0.0000		0.5867		0.00047292
40		0.2022		0.2996		0.0000		0.5602		0.00047141
41		0.2168		0.4133		0.0000		0.4965		0.00046990
42		0.2092		0.2873		0.0000		0.5761		0.00046839
43		0.1974		0.2847		0.0000		0.5661		0.00046688
44		0.2096		0.2862		0.0000		0.5511		0.00046536
45		0.2013		0.2719		0.0000		0.5926		0.00046385
46		0.1947		0.3264		0.0000		0.5438		0.00046234
47		0.2129		0.2876		0.0000		0.5633		0.00046083
48		0.1965		0.2890		0.0000		0.5814		0.00045931
49		0.1947		0.3119		0.0000		0.5593		0.00045780
50		0.1988		0.2879		0.0000		0.5837		0.00045628
51		0.1912		0.2949		0.0000		0.5780		0.00045477
52		0.1932		0.2842		0.0000		0.5782		0.00045325
53		0.2001		0.3703		0.0000		0.5074		0.00045173
54		0.1975		0.2941		0.0000		0.5644		0.00045022
55		0.1931		0.2708		0.0000		0.6064		0.00044870
56		0.1850		0.2774		0.0000		0.5809		0.00044718
57		0.1905		0.2850		0.0000		0.5729		0.00044566
58		0.1858		0.2694		0.0000		0.6030		0.00044414
59		0.1882		0.3556		0.0000		0.5312		0.00044262
60		0.1880		0.2694		0.0000		0.6073		0.00044110
61		0.1825		0.3492		0.0000		0.5326		0.00043958
62		0.1785		0.2613		0.0000		0.6091		0.00043806
63		0.1832		0.2745		0.0000		0.6074		0.00043653
64		0.1787		0.2722		0.0000		0.6086		0.00043501
65		0.1975		0.2810		0.0000		0.6044		0.00043349
66		0.1785		0.2922		0.0000		0.5886		0.00043196
67		0.1733		0.2770		0.0000		0.6069		0.00043044
68		0.1806		0.2944		0.0000		0.5743		0.00042891
69		0.1904		0.2701		0.0000		0.5991		0.00042739
70		0.1734		0.2867		0.0000		0.5967		0.00042586
71		0.1734		0.2601		0.0000		0.6037		0.00042433
72		0.1859		0.2807		0.0000		0.5910		0.00042281
73		0.1773		0.3051		0.0000		0.5727		0.00042128
74		0.1738		0.2733		0.0000		0.5777		0.00041975
75		0.1674		0.2651		0.0000		0.6248		0.00041822
76		0.1873		0.2665		0.0000		0.6114		0.00041669
77		0.1715		0.2980		0.0000		0.5778		0.00041516
78		0.1726		0.2652		0.0000		0.6121		0.00041362
79		0.1740		0.2591		0.0000		0.6214		0.00041209
80		0.1653		0.2747		0.0000		0.6076		0.00041056
81		0.1886		0.2649		0.0000		0.6090		0.00040903
82		0.1641		0.2641		0.0000		0.6239		0.00040749
83		0.1678		0.2806		0.0000		0.5770		0.00040596
84		0.1680		0.2896		0.0000		0.5822		0.00040442
85		0.1614		0.2519		0.0000		0.6325		0.00040289
86		0.1822		0.2831		0.0000		0.5989		0.00040135
87		0.1609		0.2689		0.0000		0.6054		0.00039981
88		0.1767		0.2791		0.0000		0.5973		0.00039827
89		0.1618		0.2565		0.0000		0.6288		0.00039673
90		0.1581		0.2607		0.0000		0.6262		0.00039520
91		0.1712		0.2480		0.0000		0.6381		0.00039366
92		0.1610		0.2507		0.0000		0.6095		0.00039211
93		0.1718		0.2922		0.0000		0.5700		0.00039057
94		0.1575		0.2693		0.0000		0.6132		0.00038903
95		0.1607		0.2793		0.0000		0.5964		0.00038749
96		0.1772		0.2838		0.0000		0.5844		0.00038594
97		0.1567		0.2520		0.0000		0.6297		0.00038440
98		0.1570		0.3040		0.0000		0.5834		0.00038286
99		0.1700		0.2637		0.0000		0.6098		0.00038131
100		0.1593		0.2978		0.0000		0.5982		0.00037976
101		0.1582		0.2718		0.0000		0.6086		0.00037822
102		0.1508		0.2647		0.0000		0.6077		0.00037667
103		0.1633		0.2683		0.0000		0.6160		0.00037512
104		0.1610		0.2935		0.0000		0.5938		0.00037357
105		0.1789		0.2586		0.0000		0.6159		0.00037202
106		0.1544		0.2551		0.0000		0.6253		0.00037047
107		0.1526		0.2649		0.0000		0.6161		0.00036892
108		0.1548		0.3089		0.0000		0.5754		0.00036737
109		0.1580		0.2438		0.0000		0.6409		0.00036582
110		0.1685		0.3338		0.0000		0.5514		0.00036426
111		0.1651		0.2725		0.0000		0.6169		0.00036271
112		0.1521		0.2490		0.0000		0.6384		0.00036115
113		0.1490		0.2449		0.0000		0.6372		0.00035960
114		0.1515		0.2564		0.0000		0.6172		0.00035804
115		0.1511		0.2982		0.0000		0.5721		0.00035649
116		0.1690		0.2453		0.0000		0.6465		0.00035493
117		0.1461		0.2662		0.0000		0.6194		0.00035337
118		0.1553		0.2757		0.0000		0.6071		0.00035181
119		0.1551		0.2512		0.0000		0.6375		0.00035025
120		0.1577		0.2460		0.0000		0.6451		0.00034869
121		0.1457		0.2621		0.0000		0.6308		0.00034713
122		0.1457		0.2895		0.0000		0.5968		0.00034556
123		0.1594		0.2820		0.0000		0.5851		0.00034400
124		0.1466		0.2473		0.0000		0.6480		0.00034244
125		0.1528		0.3337		0.0000		0.5669		0.00034087
126		0.1471		0.2590		0.0000		0.6316		0.00033931
127		0.1557		0.3075		0.0000		0.5719		0.00033774
128		0.1470		0.2598		0.0000		0.6287		0.00033617
129		0.1415		0.2589		0.0000		0.6283		0.00033460
130		0.1515		0.2536		0.0000		0.6435		0.00033304
131		0.1472		0.2715		0.0000		0.6178		0.00033147
132		0.1403		0.2581		0.0000		0.6404		0.00032990
133		0.1453		0.5048		0.0000		0.5223		0.00032832
