Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.7442		0.4825		0.0000		0.5291		0.00050150
2		0.3586		0.4295		0.0000		0.5372		0.00050000
3		0.2902		0.3985		0.0000		0.5380		0.00049850
4		0.2597		0.4228		0.0000		0.5155		0.00049700
5		0.2596		0.4643		0.0000		0.4952		0.00049550
6		0.2475		0.3473		0.0000		0.5630		0.00049400
7		0.2391		0.3736		0.0000		0.5513		0.00049249
8		0.2206		0.3297		0.0000		0.5802		0.00049099
9		0.2290		0.3177		0.0000		0.6104		0.00048949
10		0.2195		0.3572		0.0000		0.5653		0.00048798
11		0.2434		0.4092		0.0000		0.5192		0.00048648
12		0.2208		0.4643		0.0000		0.5074		0.00048497
13		0.2210		0.2950		0.0000		0.6262		0.00048347
14		0.1936		0.2987		0.0000		0.6267		0.00048196
15		0.2257		0.3170		0.0000		0.5980		0.00048046
16		0.2114		0.3407		0.0000		0.5711		0.00047895
17		0.2113		0.3172		0.0000		0.6073		0.00047744
18		0.1877		0.3438		0.0000		0.6058		0.00047593
19		0.1973		0.3650		0.0000		0.5538		0.00047443
20		0.2190		0.4527		0.0000		0.5288		0.00047292
21		0.1926		0.3378		0.0000		0.5633		0.00047141
22		0.1887		0.3493		0.0000		0.5682		0.00046990
23		0.1951		0.3146		0.0000		0.5919		0.00046839
24		0.2147		0.3291		0.0000		0.5907		0.00046688
25		0.1841		0.2907		0.0000		0.6366		0.00046536
26		0.1784		0.3385		0.0000		0.5985		0.00046385
27		0.2041		0.3597		0.0000		0.5706		0.00046234
28		0.2006		0.2968		0.0000		0.6163		0.00046083
29		0.1807		0.3307		0.0000		0.5855		0.00045931
30		0.1978		0.3270		0.0000		0.6003		0.00045780
31		0.1910		0.3059		0.0000		0.6434		0.00045628
32		0.1952		0.3139		0.0000		0.6022		0.00045477
33		0.1953		0.2986		0.0000		0.6244		0.00045325
34		0.1750		0.3152		0.0000		0.6100		0.00045173
35		0.2022		0.3090		0.0000		0.6252		0.00045022
36		0.1747		0.3042		0.0000		0.6336		0.00044870
37		0.1704		0.2938		0.0000		0.6402		0.00044718
38		0.1995		0.4309		0.0000		0.5247		0.00044566
39		0.1973		0.3382		0.0000		0.6023		0.00044414
40		0.1985		0.3061		0.0000		0.6160		0.00044262
41		0.1818		0.3176		0.0000		0.6245		0.00044110
42		0.1739		0.2978		0.0000		0.6368		0.00043958
43		0.1738		0.3374		0.0000		0.6088		0.00043806
44		0.1827		0.2999		0.0000		0.6206		0.00043653
45		0.1754		0.2969		0.0000		0.6106		0.00043501
46		0.1997		0.3176		0.0000		0.5952		0.00043349
47		0.1793		0.3135		0.0000		0.6137		0.00043196
48		0.1724		0.3161		0.0000		0.6186		0.00043044
49		0.1738		0.3126		0.0000		0.6148		0.00042891
50		0.1840		0.3451		0.0000		0.5884		0.00042739
51		0.1788		0.3040		0.0000		0.6211		0.00042586
52		0.1731		0.3150		0.0000		0.6285		0.00042433
53		0.1753		0.3261		0.0000		0.6034		0.00042281
54		0.1792		0.3282		0.0000		0.5974		0.00042128
55		0.1640		0.3141		0.0000		0.6086		0.00041975
56		0.1698		0.3578		0.0000		0.6015		0.00041822
57		0.2044		0.3031		0.0000		0.6262		0.00041669
58		0.1755		0.3155		0.0000		0.6172		0.00041516
59		0.1629		0.2981		0.0000		0.6506		0.00041362
60		0.1657		0.4869		0.0000		0.5126		0.00041209
61		0.1904		0.3476		0.0000		0.5659		0.00041056
62		0.1725		0.3217		0.0000		0.6053		0.00040903
63		0.1740		0.2953		0.0000		0.6431		0.00040749
64		0.1691		0.3160		0.0000		0.6245		0.00040596
65		0.1891		0.3060		0.0000		0.6200		0.00040442
66		0.1666		0.2969		0.0000		0.6373		0.00040289
67		0.1605		0.3021		0.0000		0.6322		0.00040135
68		0.1652		0.3151		0.0000		0.6343		0.00039981
69		0.1723		0.3543		0.0000		0.5693		0.00039827
