Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.9492		0.8031		0.0000		0.2759		0.00050112
2		0.6253		0.6500		0.0000		0.3359		0.00050000
3		0.5335		0.6361		0.0000		0.3667		0.00049887
4		0.4818		0.5277		0.0000		0.4100		0.00049775
5		0.4445		0.5834		0.0000		0.3770		0.00049662
6		0.4189		0.5654		0.0000		0.4019		0.00049550
7		0.3981		0.4664		0.0000		0.4571		0.00049437
8		0.3857		0.4819		0.0000		0.4447		0.00049324
9		0.3649		0.4684		0.0000		0.4502		0.00049212
10		0.3520		0.5318		0.0000		0.4435		0.00049099
11		0.3460		0.4442		0.0000		0.4702		0.00048986
12		0.3338		0.4566		0.0000		0.4599		0.00048874
13		0.3296		0.4582		0.0000		0.4690		0.00048761
14		0.3233		0.4227		0.0000		0.4881		0.00050112
15		0.3110		0.4177		0.0000		0.5015		0.00050000
16		0.3068		0.4206		0.0000		0.5019		0.00049887
17		0.2999		0.4561		0.0000		0.4863		0.00049775
18		0.2941		0.4566		0.0000		0.4874		0.00049662
19		0.2955		0.4148		0.0000		0.5099		0.00049550
20		0.2851		0.4953		0.0000		0.4669		0.00049437
21		0.2798		0.4028		0.0000		0.5177		0.00049324
22		0.2743		0.4476		0.0000		0.4893		0.00049212
23		0.2760		0.4021		0.0000		0.5201		0.00049099
24		0.2751		0.4593		0.0000		0.4777		0.00048986
25		0.2621		0.4180		0.0000		0.5335		0.00048874
26		0.2646		0.4102		0.0000		0.5206		0.00048761
27		0.2580		0.4397		0.0000		0.4956		0.00048648
28		0.2650		0.3662		0.0000		0.5366		0.00048535
29		0.2485		0.4084		0.0000		0.5352		0.00048422
30		0.2444		0.3830		0.0000		0.5407		0.00048309
31		0.2525		0.4028		0.0000		0.5228		0.00048196
32		0.2484		0.4155		0.0000		0.5021		0.00048083
33		0.2455		0.3870		0.0000		0.5390		0.00047970
34		0.2303		0.4019		0.0000		0.5353		0.00047857
35		0.2529		0.3946		0.0000		0.5244		0.00047744
36		0.2337		0.4166		0.0000		0.5278		0.00047631
37		0.2417		0.3736		0.0000		0.5431		0.00047518
38		0.2375		0.4544		0.0000		0.5107		0.00050112
39		0.2427		0.3711		0.0000		0.5455		0.00050000
40		0.2188		0.3554		0.0000		0.5609		0.00049887
41		0.2283		0.4299		0.0000		0.5137		0.00049775
42		0.2364		0.3765		0.0000		0.5523		0.00049662
43		0.2402		0.3909		0.0000		0.5388		0.00049550
44		0.2276		0.3644		0.0000		0.5631		0.00049437
45		0.2311		0.3761		0.0000		0.5602		0.00049324
46		0.2284		0.3842		0.0000		0.5341		0.00049212
47		0.2152		0.3875		0.0000		0.5539		0.00049099
48		0.2237		0.4655		0.0000		0.4930		0.00048986
49		0.2266		0.3510		0.0000		0.5667		0.00048874
50		0.2095		0.3682		0.0000		0.5407		0.00048761
51		0.2234		0.3525		0.0000		0.5737		0.00048648
52		0.2341		0.4278		0.0000		0.5191		0.00048535
53		0.2149		0.3670		0.0000		0.5669		0.00048422
54		0.2146		0.3513		0.0000		0.5691		0.00048309
55		0.2137		0.3614		0.0000		0.5730		0.00048196
56		0.2078		0.4971		0.0000		0.4957		0.00048083
57		0.2187		0.3677		0.0000		0.5522		0.00047970
58		0.2133		0.4279		0.0000		0.5203		0.00047857
59		0.2225		0.3539		0.0000		0.5834		0.00047744
60		0.2042		0.3879		0.0000		0.5487		0.00047631
61		0.2083		0.3822		0.0000		0.5630		0.00047518
62		0.2227		0.4363		0.0000		0.5045		0.00047405
63		0.2070		0.3449		0.0000		0.5729		0.00047292
64		0.1944		0.4496		0.0000		0.5323		0.00047179
65		0.2129		0.3553		0.0000		0.5748		0.00047065
66		0.1940		0.3603		0.0000		0.5912		0.00046952
67		0.2015		0.3898		0.0000		0.5315		0.00046839
68		0.2220		0.3608		0.0000		0.5541		0.00046725
69		0.2053		0.3282		0.0000		0.5994		0.00046612
70		0.1922		0.4059		0.0000		0.5579		0.00046499
71		0.2004		0.3579		0.0000		0.5699		0.00046385
72		0.2015		0.3770		0.0000		0.5447		0.00046272
73		0.2001		0.3667		0.0000		0.5788		0.00046158
74		0.2055		0.4082		0.0000		0.5257		0.00046045
75		0.2170		0.3759		0.0000		0.5401		0.00045931
76		0.1912		0.3390		0.0000		0.5820		0.00045818
77		0.1917		0.3967		0.0000		0.5393		0.00045704
78		0.2041		0.3832		0.0000		0.5556		0.00045590
79		0.1916		0.3449		0.0000		0.5874		0.00045477
80		0.1842		0.3599		0.0000		0.5889		0.00045363
81		0.2134		0.3424		0.0000		0.5765		0.00045249
82		0.1940		0.3450		0.0000		0.6034		0.00045135
83		0.1843		0.3426		0.0000		0.5825		0.00045022
84		0.1920		0.4060		0.0000		0.5608		0.00044908
85		0.1915		0.4269		0.0000		0.5211		0.00044794
86		0.1928		0.3720		0.0000		0.5653		0.00044680
87		0.1869		0.4005		0.0000		0.5473		0.00044566
88		0.1934		0.4065		0.0000		0.5624		0.00044452
89		0.1882		0.3576		0.0000		0.5830		0.00044338
90		0.2048		0.3523		0.0000		0.5626		0.00044224
91		0.1844		0.3468		0.0000		0.5950		0.00044110
92		0.1797		0.3619		0.0000		0.5718		0.00043996
93		0.1971		0.3763		0.0000		0.5479		0.00043882
94		0.1851		0.3518		0.0000		0.5782		0.00043768
95		0.1863		0.3968		0.0000		0.5439		0.00043653
96		0.1875		0.3422		0.0000		0.5929		0.00043539
97		0.1807		0.4161		0.0000		0.5185		0.00043425
98		0.1839		0.4043		0.0000		0.5629		0.00043311
99		0.1823		0.3986		0.0000		0.5487		0.00043196
100		0.2200		0.3643		0.0000		0.5632		0.00043082
101		0.1780		0.3425		0.0000		0.5821		0.00042968
102		0.1697		0.3413		0.0000		0.5811		0.00042853
103		0.1729		0.3423		0.0000		0.6094		0.00042739
104		0.1863		0.3518		0.0000		0.5795		0.00042624
105		0.1955		0.3500		0.0000		0.5698		0.00042510
106		0.1752		0.3436		0.0000		0.5972		0.00042395
107		0.1697		0.3596		0.0000		0.5748		0.00042281
108		0.1826		0.4314		0.0000		0.5382		0.00042166
109		0.2007		0.4216		0.0000		0.5472		0.00042051
110		0.1855		0.3415		0.0000		0.5832		0.00041937
111		0.1658		0.3345		0.0000		0.6029		0.00041822
112		0.1720		0.4181		0.0000		0.5599		0.00041707
113		0.2040		0.3376		0.0000		0.5876		0.00041592
114		0.1694		0.3465		0.0000		0.5936		0.00041477
115		0.1635		0.3563		0.0000		0.5905		0.00041362
116		0.1889		0.3406		0.0000		0.6007		0.00041248
117		0.1894		0.3793		0.0000		0.5688		0.00041133
118		0.1740		0.3406		0.0000		0.6021		0.00041018
119		0.1684		0.3314		0.0000		0.6052		0.00040903
120		0.1880		0.3752		0.0000		0.5684		0.00040788
121		0.1746		0.3756		0.0000		0.5578		0.00040672
122		0.1732		0.3281		0.0000		0.6082		0.00040557
123		0.1626		0.4224		0.0000		0.5489		0.00040442
124		0.1791		0.3634		0.0000		0.5857		0.00040327
125		0.1826		0.3420		0.0000		0.5986		0.00040212
126		0.1718		0.3556		0.0000		0.5766		0.00040096
127		0.1652		0.3570		0.0000		0.5970		0.00039981
128		0.1613		0.5005		0.0000		0.5307		0.00039866
129		0.1996		0.3579		0.0000		0.5905		0.00039750
130		0.1703		0.3345		0.0000		0.6102		0.00039635
131		0.1613		0.3567		0.0000		0.5846		0.00039520
132		0.1705		0.3398		0.0000		0.5959		0.00039404
133		0.1691		0.3965		0.0000		0.5622		0.00039288
134		0.1854		0.3464		0.0000		0.5942		0.00039173
135		0.1725		0.3434		0.0000		0.5853		0.00039057
136		0.1575		0.3335		0.0000		0.6086		0.00038942
137		0.1550		0.3528		0.0000		0.6090		0.00038826
138		0.1656		0.3513		0.0000		0.5975		0.00038710
139		0.1852		0.4312		0.0000		0.5086		0.00038594
140		0.1835		0.3411		0.0000		0.6082		0.00038479
141		0.1562		0.3288		0.0000		0.6184		0.00038363
142		0.1600		0.3793		0.0000		0.5747		0.00038247
143		0.1741		0.3338		0.0000		0.6056		0.00038131
144		0.1769		0.4248		0.0000		0.5680		0.00038015
145		0.1624		0.3552		0.0000		0.5921		0.00037899
146		0.1762		0.3373		0.0000		0.6081		0.00037783
147		0.1696		0.3267		0.0000		0.6180		0.00037667
148		0.1586		0.3365		0.0000		0.6025		0.00037551
149		0.1551		0.3452		0.0000		0.5989		0.00037435
150		0.1776		0.5252		0.0000		0.5171		0.00037318
151		0.1749		0.3412		0.0000		0.6035		0.00037202
152		0.1519		0.3797		0.0000		0.5912		0.00037086
153		0.1588		0.3398		0.0000		0.6140		0.00036970
154		0.1527		0.3417		0.0000		0.6187		0.00036853
155		0.1786		0.3567		0.0000		0.5701		0.00036737
156		0.1671		0.3323		0.0000		0.6175		0.00036620
157		0.1500		0.3461		0.0000		0.6120		0.00036504
158		0.1701		0.3455		0.0000		0.5883		0.00036387
159		0.1662		0.3306		0.0000		0.6071		0.00036271
160		0.1510		0.3456		0.0000		0.6103		0.00036154
161		0.1534		0.3871		0.0000		0.5594		0.00036038
162		0.1626		0.4479		0.0000		0.5437		0.00035921
163		0.1756		0.3286		0.0000		0.6117		0.00035804
164		0.1513		0.3395		0.0000		0.6068		0.00035687
165		0.1500		0.3488		0.0000		0.5987		0.00035571
166		0.1666		0.3578		0.0000		0.5712		0.00035454
167		0.1614		0.3368		0.0000		0.6124		0.00035337
168		0.1563		0.3562		0.0000		0.5988		0.00035220
169		0.1508		0.3735		0.0000		0.5838		0.00035103
170		0.1550		0.3367		0.0000		0.5957		0.00034986
171		0.1775		0.3383		0.0000		0.6023		0.00034869
172		0.1527		0.3326		0.0000		0.6124		0.00034752
173		0.1513		0.3704		0.0000		0.6048		0.00034635
174		0.1654		0.3637		0.0000		0.5783		0.00034517
175		0.1620		0.3264		0.0000		0.6027		0.00034400
